age,citizen_turnout_rate,citizen_turnout_rate_white,citizen_turnout_rate_black,citizen_turnout_rate_hispanic,registered_turnout_rate
18,0.228,0.2572,0.1907,0.1605,0.6094
19,0.263,0.2777,0.2955,0.1891,0.5779
20,0.2872,0.3091,0.2549,0.2645,0.5137
21,0.3127,0.3331,0.2597,0.2802,0.5351
22,0.3299,0.3442,0.338,0.2961,0.5612
23,0.3309,0.337,0.3874,0.2766,0.5382
24,0.321,0.3296,0.3604,0.2516,0.5421
25,0.3472,0.3657,0.3976,0.2762,0.5591
26,0.3435,0.3695,0.3497,0.3035,0.5727
27,0.3722,0.39,0.3339,0.3323,0.5758
28,0.384,0.3881,0.4266,0.3291,0.5958
29,0.3796,0.3948,0.3611,0.3505,0.5782
30,0.3878,0.4033,0.4366,0.281,0.6061
31,0.3786,0.4237,0.3503,0.258,0.6329
32,0.4306,0.4478,0.5265,0.3289,0.6141
33,0.4205,0.4719,0.4243,0.2601,0.6237
34,0.4298,0.4554,0.4515,0.3186,0.6226
35,0.4456,0.4772,0.6031,0.3076,0.6362
36,0.4337,0.4562,0.4031,0.3661,0.6265
37,0.4668,0.4988,0.43,0.3723,0.6529
38,0.4746,0.504,0.602,0.2928,0.6485
39,0.4784,0.5226,0.5652,0.3052,0.6762
40,0.4945,0.5382,0.4555,0.3964,0.6785
41,0.5005,0.5458,0.5705,0.3678,0.7019
42,0.5241,0.5787,0.5871,0.3782,0.7087
43,0.5317,0.5619,0.6531,0.4155,0.7095
44,0.5123,0.5379,0.549,0.3758,0.6737
45,0.5108,0.5433,0.4942,0.4035,0.669
46,0.5348,0.5544,0.6193,0.386,0.7175
47,0.5574,0.5713,0.6256,0.4646,0.7266
48,0.5431,0.5663,0.6291,0.381,0.7026
49,0.5456,0.5763,0.6151,0.3532,0.7046
50,0.5705,0.5802,0.644,0.4997,0.7241
51,0.5634,0.567,0.6673,0.4998,0.7469
52,0.5626,0.5965,0.6059,0.4679,0.7404
53,0.5771,0.5939,0.725,0.4347,0.7308
54,0.551,0.5854,0.5657,0.4389,0.72
55,0.5427,0.573,0.6232,0.343,0.7195
56,0.5738,0.6329,0.5124,0.3911,0.7428
57,0.5846,0.5981,0.5562,0.5582,0.7505
58,0.6085,0.6477,0.5039,0.502,0.7717
59,0.6009,0.6312,0.6315,0.496,0.7698
60,0.6393,0.6707,0.6692,0.4452,0.7972
61,0.6127,0.6389,0.6432,0.4716,0.7714
62,0.64,0.665,0.6747,0.4364,0.8031
63,0.6645,0.6756,0.7233,0.5321,0.8128
64,0.6667,0.7002,0.6908,0.4333,0.8134
65,0.6921,0.7333,0.5636,0.6526,0.8439
66,0.6865,0.7147,0.6633,0.5558,0.8111
67,0.6962,0.7217,0.6738,0.5988,0.8249
68,0.6729,0.7076,0.7089,0.5646,0.842
69,0.6941,0.7171,0.6122,0.695,0.824
70,0.6688,0.7137,0.7329,0.4547,0.8182
71,0.6532,0.6857,0.6165,0.5385,0.7942
72,0.6797,0.7099,0.6831,0.5454,0.8214
73,0.6971,0.7227,0.777,0.491,0.8422
74,0.6806,0.6897,0.7761,0.5779,0.7951
75,0.7259,0.7409,0.7862,0.5901,0.8338
76,0.7121,0.7215,0.6242,0.6402,0.822
77,0.699,0.7167,0.5203,0.7152,0.803
78,0.6118,0.647,0.5304,0.4993,0.7698
79,0.6469,0.6808,0.5892,0.4509,0.7859
80,0.636,0.6593,0.5853,0.5848,0.7706
85,0.5291,0.5489,0.5093,0.4817,0.6772
